DATE,averageEarnings,manufacturingWorkers,urbanCPI,rentCPI,employmentRatio,civilianEmployment,nonfarmPayroll,producerPrice,retailSales,freightIndex,gdp
12/1/2012,23.85,11958,229.601,264.098,58.7,143060,135964,191.8,462102,112.2,0.5
1/1/2013,23.88,11880,230.28,264.7,58.6,141614,133081,192.6,375587,114.3,3.6
2/1/2013,23.9,11901,232.166,265.256,58.6,142228,134120,195.2,373987,115.9,3.6
3/1/2013,23.84,11935,232.773,265.821,58.5,142698,134918,194.5,421719,115.8,3.6
4/1/2013,23.92,11945,232.531,265.984,58.6,143724,135923,194,408544,114.7,0.5
5/1/2013,23.8,11995,232.945,266.559,58.6,144432,136816,194,437188,115.8,0.5
6/1/2013,23.92,12086,233.504,266.905,58.6,144841,137226,193.9,414714,116.5,0.5
7/1/2013,23.81,12054,233.596,267.482,58.7,145113,136052,194,422410,115.9,3.2
8/1/2013,23.8,12107,233.877,268.505,58.7,144509,136488,194.6,435005,116.6,3.2
9/1/2013,24.16,12091,234.149,269.137,58.7,144651,137096,194.3,396213,116.5,3.2
10/1/2013,24.04,12080,233.546,269.96,58.3,144144,138019,193.7,415700,116.5,3.2
11/1/2013,24.11,12080,233.069,270.698,58.6,144775,138543,192.7,423786,118.8,3.2
12/1/2013,24.3,12084,233.049,271.688,58.7,144423,138292,193.2,476910,117.7,3.2
1/1/2014,24.35,11987,233.916,272.317,58.8,143526,135488,194.2,383054,116.1,-1.1
2/1/2014,24.58,12019,234.781,272.733,58.7,144134,136229,195.2,380019,118,-1.1
3/1/2014,24.5,12061,236.293,273.486,58.9,145090,137187,196.2,432651,119.9,-1.1
4/1/2014,24.4,12079,237.072,274.1,58.9,145767,138325,197.5,431396,120.5,5.5
5/1/2014,24.3,12139,237.9,274.71,58.9,146398,139237,197.2,459231,120.9,5.5
6/1/2014,24.42,12254,238.343,275.321,59,147104,139824,197.2,433282,119.8,5.5
7/1/2014,24.31,12259,238.25,276.248,59,147265,138745,197.4,443281,120.4,5
8/1/2014,24.32,12296,237.852,277.048,59,146647,139125,197.4,451366,120.9,5
9/1/2014,24.5,12276,238.031,277.998,59.1,146941,139812,196.8,421424,121.7,5
10/1/2014,24.52,12274,237.433,278.985,59.3,147936,140866,194.8,438457,122.6,2.3
11/1/2014,24.78,12283,236.151,280.123,59.2,147666,141331,192.7,439165,123.2,2.3
12/1/2014,24.59,12294,234.812,280.874,59.3,147190,141326,189.1,502330,123.1,2.3
1/1/2015,24.88,12203,233.707,281.572,59.3,146552,138511,185,398027,122.8,3.2
2/1/2015,25.05,12219,234.722,282.389,59.2,147118,139343,185.4,388063,121.6,3.2
3/1/2015,25.04,12254,236.119,283.13,59.2,147635,140099,186.2,445970,122.6,3.2
4/1/2015,24.94,12267,236.599,283.598,59.3,148587,141283,185.7,439637,121.5,3
5/1/2015,24.88,12319,237.805,284.245,59.4,149349,142224,188.2,464785,121.8,3
6/1/2015,24.77,12423,238.638,285.031,59.3,149645,142700,188.9,449794,121.4,3
7/1/2015,24.83,12426,238.654,286.09,59.3,149722,141747,188.5,459533,122.4,1.3
8/1/2015,25.04,12434,238.316,287.068,59.4,149228,141939,187,457905,123,1.3
9/1/2015,25.05,12395,237.945,288.306,59.2,148980,142497,184.3,432782,122.9,1.3
10/1/2015,25.14,12374,237.838,289.428,59.3,149716,143645,183.7,446593,122.4,0.1
11/1/2015,25.38,12355,237.336,290.322,59.4,149766,144066,182.9,446773,120.8,0.1
12/1/2015,25.21,12368,236.525,291.204,59.6,149703,144063,180.8,519625,120.3,0.1
1/1/2016,25.5,12293,236.916,292.004,59.7,149037,141088,179.7,401982,122,2
2/1/2016,25.49,12290,237.111,292.777,59.8,150060,141919,178.7,415189,121.4,2
3/1/2016,25.49,12288,238.132,293.489,59.8,150738,142814,179.3,461198,120.2,2
4/1/2016,25.59,12300,239.261,294.175,59.7,151075,143909,180.5,451468,122.4,1.9
5/1/2016,25.68,12316,240.229,295.036,59.7,151594,144557,181.9,470430,121.6,1.9
6/1/2016,25.41,12440,241.018,295.902,59.6,151990,145222,183.6,465023,122.4,1.9
7/1/2016,25.52,12444,240.628,296.862,59.7,152437,144248,183.4,462162,125.2,2.2
8/1/2016,25.51,12438,240.849,297.916,59.8,151804,144502,182.5,471996,122.8,2.2
9/1/2016,25.73,12383,241.428,298.962,59.8,151977,145168,183,448749,121.6,2.2
10/1/2016,26.02,12358,241.729,300.4,59.7,152335,146049,183.7,453088,122.6,2
11/1/2016,25.85,12338,241.353,301.587,59.8,152385,146482,183.2,467765,123.2,2
12/1/2016,25.87,12354,241.432,302.735,59.8,151798,146270,183.9,540273,123.9,2
1/1/2017,26.31,12277,242.839,303.467,59.9,150527,143393,185.6,421560,123.7,2.3
2/1/2017,26.17,12315,243.603,304.211,59.9,151594,144423,186.2,417983,124.5,2.3
3/1/2017,26.14,12340,243.801,304.868,60.1,152628,145078,186.7,483059,124.5,2.3
4/1/2017,26.42,12348,244.524,305.477,60.2,153262,146103,187.6,466058,124.8,2.2
5/1/2017,26.14,12387,244.733,306.379,60,153407,146941,187.3,495264,124.8,2.2
6/1/2017,26.04,12505,244.955,307.314,60.1,154086,147585,187.6,482456,125.4,2.2
7/1/2017,26.35,12492,244.786,308.173,60.1,154470,146481,187.3,475984,127.7,3.2
8/1/2017,26.17,12547,245.519,309.479,60.1,153576,146799,188.4,491090,128.1,3.2
9/1/2017,26.47,12504,246.819,310.268,60.4,154494,147187,189.6,470406,127.6,3.2
10/1/2017,26.63,12499,246.663,311.501,60.2,154223,148200,190.2,476925,129.2,3.5
11/1/2017,26.47,12509,246.669,312.67,60.1,154180,148774,191.2,499446,131.2,3.5
12/1/2017,26.58,12548,246.524,313.904,60.2,153602,148526,191.3,560379,132.3,3.5
1/1/2018,26.87,12468,247.867,314.788,60.2,152848,145428,192.6,445484,130.3,2.5
2/1/2018,26.84,12521,248.991,315.277,60.4,154403,146665,193.5,437005,132.9,2.5
3/1/2018,26.87,12558,249.554,315.883,60.4,154877,147368,194,510380,134.6,2.5
4/1/2018,27.16,12579,250.546,316.763,60.3,155348,148383,195.3,482412,134.7,3.5
5/1/2018,26.9,12636,251.588,317.49,60.4,156009,149360,197.7,530082,135.6,3.5
6/1/2018,26.79,12772,251.989,318.318,60.4,156465,150062,198.4,510029,136.6,3.5
7/1/2018,27.1,12783,252.006,319.351,60.5,157004,148948,198.5,508010,135.4,2.9
8/1/2018,27,12801,252.146,320.651,60.3,155539,149453,198.6,523933,135.1,2.9
9/1/2018,27.44,12772,252.439,321.533,60.4,156191,149793,198.9,481094,136.4,2.9
10/1/2018,27.3,12774,252.885,322.628,60.6,156952,150853,200.4,506360,138,1.1
11/1/2018,27.34,12783,252.038,323.968,60.6,157015,151375,198.4,522804,138.8,1.1
12/1/2018,27.68,12815,251.233,324.815,60.6,156481,151203,195.2,563497,136.2,1.1
1/1/2019,27.71,12741,251.712,325.597,60.7,154964,148295,194.3,459143,137.3,3.1
2/1/2019,27.77,12766,252.776,326.351,60.7,156167,149148,195.4,444794,135.7,3.1
3/1/2019,27.74,12778,254.202,327.513,60.6,156441,149864,197.4,518304,136.6,3.1
4/1/2019,27.81,12778,255.548,328.678,60.6,156710,150938,199.2,510176,138.2,2
5/1/2019,27.73,12811,256.092,329.333,60.6,157152,151610,199.1,547036,138.1,2
6/1/2019,27.85,12926,256.143,330.648,60.6,157828,152243,197.2,517984,137.8,2
7/1/2019,27.82,12925,256.571,331.605,60.7,158385,151169,198.1,533058,138.7,2
8/1/2019,27.88,12935,256.558,332.638,60.9,157816,151587,196.8,545940,140.6,2
9/1/2019,28.24,12884,256.759,333.834,61,158478,151949,196.4,545940,140.6,2
